0,CombatZoneResize,241,226,406,391,TLResume,,
0,HeartTeleport,320,304,,,,,
0,HeartMode,0,,,,,,
0,TLPause,,,,,,,
0,SansHead,ClosedEyes,,,,,,
0,SansText,it all comes down to my laziness,,,,,,
0,SansText,too lazy to face reality,,,,,,
0,SansHead,default,,,,,,
0,SET,Loop,3,,,,,
0,JMPZ,112,$Loop,,,,,
0,SUB,Loop,$Loop,1,,,,
0,RND,Jump,16,,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPREL,16,,,,,,
0,JMPREL,20,,,,,,
0,JMPREL,24,,,,,,
0,JMPREL,28,,,,,,
0,JMPREL,32,,,,,,
0,JMPREL,36,,,,,,
0,JMPREL,40,,,,,,
0,JMPREL,44,,,,,,
0,JMPREL,48,,,,,,
0,JMPREL,52,,,,,,
0,JMPREL,56,,,,,,
0,JMPREL,60,,,,,,
0,JMPREL,64,,,,,,
0,JMPREL,68,,,,,,
0,JMPREL,72,,,,,,
0,JMPREL,76,,,,,,
0,SansBody,HandDown,,,,,,
0.26666,SansSlam,1,,,,,,
0,BoneStab,1,25,0.4,0,,,
0,BoneStab,3,111,0.4,0,,,
0.1,JMPABS,111,,,,,,
0,SansBody,HandDown,,,,,,
0.26666,SansSlam,1,,,,,,
0,BoneStab,1,35,0.4,0,,,
0,BoneStab,3,101,0.4,0,,,
0.15,JMPABS,111,,,,,,
0,SansBody,HandDown,,,,,,
0.26666,SansSlam,1,,,,,,
0,BoneStab,1,45,0.45,0,,,
0,BoneStab,3,91,0.45,0,,,
0.2,JMPABS,111,,,,,,
0,SansBody,HandDown,,,,,,
0.26666,SansSlam,1,,,,,,
0,BoneStab,1,60,0.55,0,,,
0,BoneStab,3,76,0.55,0,,,
0.35,JMPABS,111,,,,,,
0,SansBody,HandLeft,,,,,,
0.26666,SansSlam,2,,,,,,
0,BoneStab,2,25,0.4,0,,,
0,BoneStab,0,111,0.4,0,,,
0.1,JMPABS,111,,,,,,
0,SansBody,HandLeft,,,,,,
0.26666,SansSlam,2,,,,,,
0,BoneStab,2,35,0.4,0,,,
0,BoneStab,0,101,0.4,0,,,
0.15,JMPABS,111,,,,,,
0,SansBody,HandLeft,,,,,,
0.26666,SansSlam,2,,,,,,
0,BoneStab,2,45,0.45,0,,,
0,BoneStab,0,91,0.45,0,,,
0.2,JMPABS,111,,,,,,
0,SansBody,HandLeft,,,,,,
0.26666,SansSlam,2,,,,,,
0,BoneStab,2,60,0.55,0,,,
0,BoneStab,0,76,0.55,0,,,
0.35,JMPABS,111,,,,,,
0,SansBody,HandUp,,,,,,
0.26666,SansSlam,3,,,,,,
0,BoneStab,3,25,0.4,0,,,
0,BoneStab,1,111,0.4,0,,,
0.1,JMPABS,111,,,,,,
0,SansBody,HandUp,,,,,,
0.26666,SansSlam,3,,,,,,
0,BoneStab,3,35,0.4,0,,,
0,BoneStab,1,101,0.4,0,,,
0.15,JMPABS,111,,,,,,
0,SansBody,HandUp,,,,,,
0.26666,SansSlam,3,,,,,,
0,BoneStab,3,45,0.45,0,,,
0,BoneStab,1,91,0.45,0,,,
0.2,JMPABS,111,,,,,,
0,SansBody,HandUp,,,,,,
0.26666,SansSlam,3,,,,,,
0,BoneStab,3,60,0.55,0,,,
0,BoneStab,1,76,0.55,0,,,
0.35,JMPABS,111,,,,,,
0,SansBody,HandRight,,,,,,
0.26666,SansSlam,0,,,,,,
0,BoneStab,0,25,0.4,0,,,
0,BoneStab,2,111,0.4,0,,,
0.1,JMPABS,111,,,,,,
0,SansBody,HandRight,,,,,,
0.26666,SansSlam,0,,,,,,
0,BoneStab,0,35,0.4,0,,,
0,BoneStab,2,101,0.4,0,,,
0.15,JMPABS,111,,,,,,
0,SansBody,HandRight,,,,,,
0.26666,SansSlam,0,,,,,,
0,BoneStab,0,45,0.45,0,,,
0,BoneStab,2,91,0.45,0,,,
0.2,JMPABS,111,,,,,,
0,SansBody,HandRight,,,,,,
0.26666,SansSlam,0,,,,,,
0,BoneStab,0,60,0.55,0,,,
0,BoneStab,2,76,0.55,0,,,
0.35,JMPABS,111,,,,,,
0.26666,JMPABS,10,,,,,,
0,Sound,Ding,,,,,,
0,HeartMode,0,,,,,,
0.2,SansAnimation,Idle,,,,,,
0.5,BoneStab,0,65,0,0.2,,,
0,BoneStab,1,65,0,0.2,,,
0,BoneStab,2,65,0,0.2,,,
0,BoneStab,3,65,0,0.2,,,
0,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.13333,BlackScreen,0,,,,,,
0,Sound,Flash,,,,,,
0.3,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.13333,BlackScreen,0,,,,,,
0,Sound,Flash,,,,,,
0,CombatZoneResizeInstant,-10,264,650,369,,,
0,SansX,-70,,,,,,
0,HeartTeleport,40,317,,,,,
0,HeartMaxFallSpeed,0,,,,,,
0,SansSlam,0,,,,,,
0,BoneVRepeat,640,269,47,2,700,10,324
0,BoneVRepeat,652,269,47,2,700,10,324
0,BoneVRepeat,664,269,47,2,700,10,324
0.22,BoneVRepeat,640,317,47,2,700,10,324
0,BoneVRepeat,652,317,47,2,700,10,324
0,BoneVRepeat,664,317,47,2,700,10,324
1.35,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.13333,BlackScreen,0,,,,,,
0,Sound,Flash,,,,,,
0,HeartMaxFallSpeed,330,,,,,,
0,SansSlam,0,,,,,,
