0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,SansText,that's significance of why im here,,,,,,,
0,SansText,only by killing you,,,,,,,
0,SansText,that we have a chance to wage war on mankind,,,,,,,
0,SET,YS,2,,,,,,
0,SUB,YS,$YS,1,,,,,
0,SET,Loop,75,,,,,,
0,JMPZ,43,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,7,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,9,,,,,,,
0,JMPREL,10,,,,,,,
0,JMPREL,11,,,,,,,
0,JMPREL,12,,,,,,,
0,JMPREL,13,,,,,,,
0,JMPREL,14,,,,,,,
0,JMPREL,15,,,,,,,
0,JMPREL,16,,,,,,,
0,JMPREL,17,,,,,,,
0,BoneV,517,257,45,2,120,,,
0.125,JMPABS,11,,,,,,,
0,BoneV,125,306,40,0,120,,,
0.125,JMPABS,11,,,,,,,
0,BoneV,517,349,35,2,120,,,
0.125,JMPABS,11,,,,,,,
0,BoneV,517,257,45,2,250,2,,
0.125,JMPABS,11,,,,,,,
0,BoneV,125,306,40,0,250,2,,
0.125,JMPABS,11,,,,,,,
0,BoneV,517,349,35,2,250,2,,
0.125,JMPABS,11,,,,,,,
0,BoneV,517,257,45,2,120,,,
0.125,JMPABS,11,,,,,,,
0,BoneV,125,306,40,0,120,,,
0.125,JMPABS,11,,,,,,,
0,BoneV,517,349,35,2,120,,,
0.125,JMPABS,11,,,,,,,
0,RND,GBX,540,,,,,,
0,ADD,GBX,$GBX,50,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ANGLE,c,$GBX,100,$HeartX,$HeartY,,,
0,GasterBlaster,3,$GBX,0,$GBX,100,$c,0.2,0.3
0,RND,GBX,540,,,,,,
0,JMPNZ,9,$YS,,,,,,
0.6,BoneVRepeat,128,257,130,0,1000,3,12,1
0,BoneVRepeat,503,257,130,2,1000,3,12,1
1.25,EndAttack,,,,,,,,
