0,CombatZoneResize,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,Heartmode,0,,,,,,,
0.4,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0,BoneV,130,231,155,0,300,2,,
0,BoneV,100,231,155,0,280,1,,
0,BoneV,70,231,155,0,260,2,,
0,BoneV,40,231,155,0,240,1,,
0,BoneV,10,231,155,0,220,2,,
0,BoneV,440,360,27,2,100,0,,
0,BoneVRepeat,-27,231,130,0,220,3,15,
1.8,BoneStab,0,140,0,0.7,,,,
0,GasterBlaster,1,250,0,250,150,90,0.6,1
0.6,BoneVRepeat,0,231,45,0,600,15,45,
0,BoneVRepeat,640,351,45,2,600,15,45,
0.6,BoneVRepeat,0,231,120,0,250,15,75,
0,BoneVRepeat,0,366,20,0,250,15,75,
0,BoneV,440,231,155,2,25,1,,
5.6,SansBody,HandLeft,,,,,,,
0,SansSlam,2,,,,,,,
0,BoneStab,2,18,0.5,0.3,,,,
2.35,EndAttack,,,,,,,,
