0,Sound,Slam,,,,,,,
0,CombatZoneResizeinstant,281,200,366,391,TLResume,,,
0,HeartTeleport,320,375,,,,,,
0,HeartMode,1,,,,,,,
0,Platform,286,360,75,,,,,
0,BoneHRepeat,366,360,45,0,200,600,75,
0,BoneVRepeat,354,315,71,0,200,20,300,1
0,BoneVRepeat,281,315,71,2,200,20,300,1
0,BoneHRepeat,366,325,15,0,200,600,50,
0,Platform,320,310,20,0,100,1,,
0,BoneVRepeat,366,260,35,0,200,600,50,
0,Platform,286,260,75,,,,,
0,BoneVRepeat,354,205,61,0,150,100,300,1
0,BoneVRepeat,281,245,15,2,100,100,75,
0,BoneHRepeat,286,400,75,3,7,20,10,
0,BoneHRepeat,286,200,75,3,12,17,10,
20,EndAttack,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,JMPNZ,14,$Loop,,,,,,
